country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Afghanistan,2023,AFG,41454762,,0.016,0,11.02,0.462,4.38,28.452,2.589,10.01,0.686,,,0.266,,,3.843,0.093,,,,2.553,236.841,600.595,63.161,5.956,20.386,877.022,144.785,,,,0,0,0.15,0.004,0.45,0.967,17.431,0.42,18.684,0.451,4.182,0.101,7.011,0.169,,,,0.001,0.029,0.069,0.025,0.005,0.013,0.023,0.008,0.03,0.008,0.107,0.023,,0,0.002,0.481,0.057,,0.084,0.001,0.001,0.001,0,40.081,18.638,,
Albania,2023,ALB,2811660,,1.312,0.467,5.144,-0.029,-0.562,4.648,-0.209,-4.295,1.653,,,1.83,,,0.789,0.28,,,,27.326,304.173,542.669,69.325,0.152,16.856,398.132,190.514,,,,0.001,0,0.115,0.041,2.24,2.729,-0.496,-0.177,2.44,0.868,0.728,0.259,2.928,1.041,,,,0.084,0.014,0.011,0.005,0.056,0.017,0.021,0.008,0.001,0.006,0.049,0.03,,0,0.001,-0.014,0.024,,0.024,0,0,0,0,7.673,6.298,,
Algeria,2023,DZA,46164221,,9.555,0.207,178.133,-6.425,-3.481,180.335,-6.39,-3.422,3.906,,0.256,3.859,,0.253,0.689,0.015,,,,253.632,5263.69,6187.045,118.753,767.07,2350.449,1221.471,1773.786,,15458.39,,15.378,0.333,92.546,2.005,5.821,6.123,2.202,0.048,95.451,2.068,8.032,0.174,59.966,1.299,,,705.003,0.609,0.471,0.435,0.004,0.524,0.29,0.235,0.014,3.875,0.87,0.149,0.282,,3.742,1.171,0.061,0.491,,0.403,0.004,0.003,0.007,0,282.645,268.725,,
Andorra,2023,AND,80868,,0,0,0.424,0.004,1.028,0.416,0.004,0.995,5.14,,,5.242,,,0,0,,,,0,16.236,16.678,0,0,0.038,0.917,16.198,,,,0,0,0.008,0.102,5.736,6.605,-0.008,-0.102,0.081,1.008,0.036,0.446,0.416,5.14,,,,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0.003,,0,0,0,0.003,,0.001,0,0,0,0,0.534,0.464,,
Angola,2023,AGO,36749907,,1.201,0.033,20.781,0.53,2.619,67.766,-0.82,-1.196,1.844,,,0.565,,,,,,,,28.327,715.34,5359.719,,275.457,49.896,7327.094,360.06,,,,3.453,0.094,2.006,0.055,1.467,4.754,46.986,1.279,50.54,1.375,17.811,0.485,14.12,0.384,,,,0.077,0.055,0.164,,0.059,0.039,0.204,,1.391,0.018,0.894,0.057,,0.84,0.025,1.296,0.116,,0.343,0.003,0.003,0.006,0,174.713,53.922,,
Anguilla,2023,AIA,14435,,0,0,0.145,0.006,4.321,,,,,,,10.012,,,,,,,,0,3.478,,,0,,,3.478,,,,0,0,,,,,,,,,0,0,0.145,10.012,,,,0,0,,,0,0,,,0,,,0.001,,0,,,0.001,,0,0,0,0,0,,,,
Antarctica,2023,ATA,,,0,,0,0,,,,,,,,,,,,,,,,0,0.154,,,0,,,,,,,0,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,,,,,0,,,,,0,,0,0,,,,,
Antigua and Barbuda,2023,ATG,93333,,0,0,0.645,0.027,4.321,0.616,0.028,4.799,6.601,,,6.909,,,,,,,,0,26.261,16.879,,0,,-11.84,26.238,,,,0,0,,,7.585,7.683,-0.029,-0.307,0.068,0.723,0.013,0.137,0.645,6.909,,,,0,0.002,0.001,,0,0.001,0.001,,0,,-0.001,0.004,,0,,-0.001,0.005,,0.001,0,0,0,0,0.717,0.708,,
Argentina,2023,ARG,45538402,,4.853,0.107,195.806,-8.275,-4.055,306.446,-10.305,-3.253,6.729,,0.301,4.3,,0.192,4.106,0.09,,,,211.479,9012.649,22777.85,542.351,171.031,3152.02,13837.546,4935.768,,22277.793,,2.054,0.045,91.051,1.999,5.257,9.267,110.64,2.43,128.234,2.816,49.97,1.097,93.742,2.059,,,1019.741,0.309,0.518,0.74,0.027,0.437,0.497,0.867,0.065,0.864,1.167,1.689,0.786,,0.5,1.153,3.052,0.768,,1.1,0.006,0.011,0.018,0.001,422.011,239.408,,
Armenia,2023,ARM,2943395,,0.492,0.167,7.608,0.444,6.194,7.637,0.408,5.648,2.595,,,2.585,,,0.041,0.014,,,,16.191,398.829,504.201,44.044,2.157,173.877,111.424,162.561,,,,0,0,5.51,1.872,2.875,3.597,0.029,0.01,1.436,0.488,1.139,0.387,1.566,0.532,,,,0.031,0.02,0.018,0,0.033,0.022,0.019,0.005,0.011,0.064,0.014,0.026,,0,0.07,0.001,0.013,,0.019,0,0,0,0,10.587,8.463,,
